51300010896,ffe,152,147
51300055657,dde,42,127
51300129912,cfc,121,155
51300302776,cee,241,250
51300353329,beb,98,51
51300385768,cgb,131,32
51300402500,ebb,49,98
51300409665,cfc,80,136
51300443441,cdd,28,68
51300486262,gaa,219,277
51300495791,bce,51,226
51300513694,gaf,178,209
51300539092,aae,63,82
51300567328,fff,278,33
51300577573,fab,266,38
51300628546,bcf,142,160
51300649808,egg,10,88
51300651910,dec,63,18
51300766839,abg,210,80
51300843498,cfb,121,184
51300899408,agf,28,176
51301010203,acb,216,37
51301058364,cac,90,150
51301059648,fea,14,209
51301069063,bcg,8,167
51301083112,efe,142,120
51301083897,cbf,57,18
51301107884,dga,220,220
51301146788,efc,219,284
51301156986,egd,69,275
51301161841,ccf,279,224
51301167349,gdc,262,207
51301173932,cfc,68,125
51301217338,gee,62,112
51301234428,cde,57,84
51301236857,bga,205,42
51301290786,dbc,168,169
51301298525,def,49,235
51301326033,bgf,207,232
51301383960,baf,198,14
51301472127,fgg,283,18
51301476633,bgd,78,15
51301478105,aeg,124,184
51301481865,gbc,55,51
51301490159,cbd,263,208
51301499695,gge,44,187
51301516239,fbb,159,38
51301516828,gdb,6,184
51301523748,cag,157,117
51301529831,gda,65,196
51301600329,ceg,152,168
51301640405,gec,89,205
51301691866,acb,120,40
51301752234,cfd,222,138
51301762219,bbg,111,76
51301764815,gbe,194,266
51301794578,bge,7,277
51301821571,dde,203,101
51301847093,abe,153,207
51301853773,eac,171,270
51301855845,ade,245,67
51301874392,afa,82,13
51301879628,bbb,272,98
51301915077,ecc,237,275
51301938231,eea,217,223
51301951538,ede,249,296
51302042624,agc,127,26
51302051934,bae,83,240
51302078375,bbe,152,27
51302102882,bdb,216,299
51302103837,ded,216,296
51302182722,ggd,24,155
51302199589,afg,63,233
51302205193,gde,175,77
51302216997,eee,120,88
51302245856,dce,192,67
51302296185,bbd,187,296
51302315434,dff,118,67
51302325514,agg,1,50
51302360830,efd,114,226
51302383411,bfd,31,150
51302440151,dbg,76,297
51302452474,abg,278,93
51302466429,egg,66,92
51302467256,cad,227,59
51302511788,dfa,208,206
51302542686,bgd,136,12
51302559971,dcg,132,83
51302567487,bff,251,56
51302573981,ced,16,182
51302584057,bbb,88,97
51302599800,cea,41,208
51302621377,bgf,267,192
51302634257,bfb,187,143
51302677109,fee,77,46
51302695662,aac,133,199
51302699983,dca,280,94
51302706346,eea,241,194
51302812361,cga,185,237
51302814536,aea,109,83
51302841428,dbe,211,118
51302848400,ada,40,275
51302883716,age,72,32
51302909426,afg,129,267
51302910655,fde,199,43
51302954951,abb,147,285
51302972123,bfe,267,41
51302989609,afg,240,291
51302999460,ade,30,58
51303021845,bbe,12,28
51303040207,agg,30,59
51303040349,gaa,270,315
51303045037,aca,181,161
51303054968,ffe,118,132
51303073648,acc,263,196
51303085351,egf,18,186
51303131849,baa,120,77
51303132010,dab,58,158
51303164229,bbe,24,25
51303178496,ecg,163,60
51303204286,ced,33,145
51303267201,bfd,126,138
51303288602,adb,172,261
51303318037,efa,124,44
51303321693,gbg,263,200
51303344823,feb,154,168
51303352943,bec,207,203
51303360546,dde,148,107
51303361931,ccg,111,74
51303421298,gcd,200,232
51303438458,geg,49,145
51303439971,fcc,132,260
51303451131,gfa,218,153
51303453947,bee,298,198
51303533137,dfb,238,69
51303539257,cge,83,211
51303563517,cef,7,189
51303572704,gda,286,231
51303572797,dde,143,102
51303585754,cff,178,57
51303587096,fcg,169,22
51303593028,faa,146,175
51303657123,gbf,227,246
51303670507,fag,37,206
51303690446,cfg,230,60
51303693102,ega,291,261
51303720736,ccc,43,83
51303759282,gag,30,117
51303791267,ggc,216,272
51303792856,dgd,224,297
51303793814,dgg,126,171
51303814527,cgg,145,186
51303817419,ceg,176,179
51303845215,eac,280,245
51303865130,cgc,215,78
51303876735,gbb,65,107
51303902932,aga,41,226
51303923035,bae,9,201
51303928576,bfg,219,133
51303935225,aee,184,10
51303958249,bgc,9,268
51303966200,dac,134,299
51303966268,eec,27,294
51304038532,bbd,91,245
51304055968,cff,62,49
51304082298,cbf,125,17
51304107081,fgc,256,238
51304121812,bbc,62,205
51304131303,fag,66,173
51304181260,gfg,2,286
51304183582,agc,155,29
51304194409,eeb,41,100
51304204632,dcf,109,157
51304221958,geb,180,101
51304222718,ffb,110,187
51304261746,dbc,201,162
51304288483,dad,110,238
